"# Frequency (GHz)	mag(S-parameters) (dB)"
"0	-0.000168429"
"1e-06	-0.000168429"
"0.00025352	-0.000204935"
"0.00050604	-0.00029645"
"0.000758561	-0.000408439"
"0.00101108	-0.00051504"
"0.0012636	-0.000605611"
"0.00151612	-0.000679083"
"0.00176864	-0.000738084"
"0.00202116	-0.000785916"
"0.00227368	-0.00082547"
"0.0025262	-0.000858997"
"0.00277872	-0.000888172"
"0.00303124	-0.000914215"
"0.00328376	-0.000938014"
"0.00353628	-0.000960214"
"0.0037888	-0.000981285"
"0.00404132	-0.00100157"
"0.00429384	-0.00102133"
"0.00454636	-0.00104074"
"0.00479888	-0.00105994"
"0.0050514	-0.00107902"
"0.00530392	-0.00109807"
"0.00555644	-0.00111712"
"0.00580896	-0.00113622"
"0.00606148	-0.00115538"
"0.00631401	-0.00117462"
"0.00656653	-0.00119393"
"0.00681905	-0.00121333"
"0.00707157	-0.00123281"
"0.00732409	-0.00125235"
"0.00757661	-0.00127195"
"0.00782913	-0.0012916"
"0.00808165	-0.00131129"
"0.00833417	-0.00133101"
"0.00858669	-0.00135073"
"0.00883921	-0.00137045"
"0.00909173	-0.00139016"
"0.00934425	-0.00140984"
"0.00959677	-0.00142949"
"0.00984929	-0.00144908"
"0.0101018	-0.00146862"
"0.0103543	-0.00148808"
"0.0106068	-0.00150747"
"0.0108594	-0.00152677"
"0.0111119	-0.00154597"
"0.0113644	-0.00156507"
"0.0116169	-0.00158406"
"0.0118694	-0.00160293"
"0.012122	-0.00162169"
"0.0123745	-0.00164032"
"0.012627	-0.00165883"
"0.0128795	-0.0016772"
"0.0131321	-0.00169544"
"0.0133846	-0.00171355"
"0.0136371	-0.00173151"
"0.0138896	-0.00174934"
"0.0141421	-0.00176703"
"0.0143947	-0.00178457"
"0.0146472	-0.00180198"
"0.0148997	-0.00181924"
"0.0151522	-0.00183637"
"0.0154047	-0.00185336"
"0.0156573	-0.00187021"
"0.0159098	-0.00188692"
"0.0161623	-0.0019035"
"0.0164148	-0.00191994"
"0.0166673	-0.00193625"
"0.0169199	-0.00195243"
"0.0171724	-0.00196848"
"0.0174249	-0.00198441"
"0.0176774	-0.00200021"
"0.0179299	-0.00201589"
"0.0181825	-0.00203145"
"0.018435	-0.00204689"
"0.0186875	-0.00206222"
"0.01894	-0.00207743"
"0.0191925	-0.00209254"
"0.0194451	-0.00210753"
"0.0196976	-0.00212243"
"0.0199501	-0.00213722"
"0.0202026	-0.00215191"
"0.0204551	-0.0021665"
"0.0207077	-0.00218099"
"0.0209602	-0.0021954"
"0.0212127	-0.00220971"
"0.0214652	-0.00222393"
"0.0217177	-0.00223807"
"0.0219703	-0.00225212"
"0.0222228	-0.00226609"
"0.0224753	-0.00227998"
"0.0227278	-0.0022938"
"0.0229803	-0.00230754"
"0.0232329	-0.0023212"
"0.0234854	-0.0023348"
"0.0237379	-0.00234832"
"0.0239904	-0.00236178"
"0.0242429	-0.00237517"
"0.0244955	-0.00238849"
"0.024748	-0.00240176"
"0.0250005	-0.00241496"
"0.025253	-0.0024281"
"0.0255055	-0.00244119"
"0.0257581	-0.00245422"
"0.0260106	-0.00246719"
"0.0262631	-0.00248011"
"0.0265156	-0.00249298"
"0.0267681	-0.0025058"
"0.0270207	-0.00251857"
"0.0272732	-0.00253129"
"0.0275257	-0.00254397"
"0.0277782	-0.0025566"
"0.0280307	-0.00256918"
"0.0282833	-0.00258172"
"0.0285358	-0.00259422"
"0.0287883	-0.00260668"
"0.0290408	-0.00261909"
"0.0292933	-0.00263147"
"0.0295459	-0.00264381"
"0.0297984	-0.00265611"
"0.0300509	-0.00266837"
"0.0303034	-0.0026806"
"0.0305559	-0.00269279"
"0.0308085	-0.00270495"
"0.031061	-0.00271707"
"0.0313135	-0.00272916"
"0.031566	-0.00274122"
"0.0318185	-0.00275324"
"0.0320711	-0.00276524"
"0.0323236	-0.0027772"
"0.0325761	-0.00278913"
"0.0328286	-0.00280103"
"0.0330811	-0.0028129"
"0.0333337	-0.00282474"
"0.0335862	-0.00283656"
"0.0338387	-0.00284834"
"0.0340912	-0.0028601"
"0.0343437	-0.00287183"
"0.0345963	-0.00288354"
"0.0348488	-0.00289521"
"0.0351013	-0.00290686"
"0.0353538	-0.00291849"
"0.0356063	-0.00293009"
"0.0358589	-0.00294166"
"0.0361114	-0.00295321"
"0.0363639	-0.00296473"
"0.0366164	-0.00297623"
"0.0368689	-0.0029877"
"0.0371215	-0.00299915"
"0.037374	-0.00301057"
"0.0376265	-0.00302197"
"0.037879	-0.00303335"
"0.0381316	-0.0030447"
"0.0383841	-0.00305603"
"0.0386366	-0.00306734"
"0.0388891	-0.00307862"
"0.0391416	-0.00308988"
"0.0393942	-0.00310112"
"0.0396467	-0.00311233"
"0.0398992	-0.00312352"
"0.0401517	-0.00313469"
"0.0404042	-0.00314583"
"0.0406568	-0.00315696"
"0.0409093	-0.00316806"
"0.0411618	-0.00317914"
"0.0414143	-0.00319019"
"0.0416668	-0.00320122"
"0.0419194	-0.00321224"
"0.0421719	-0.00322323"
"0.0424244	-0.00323419"
"0.0426769	-0.00324514"
"0.0429294	-0.00325606"
"0.043182	-0.00326696"
"0.0434345	-0.00327784"
"0.043687	-0.0032887"
"0.0439395	-0.00329953"
"0.044192	-0.00331034"
"0.0444446	-0.00332114"
"0.0446971	-0.0033319"
"0.0449496	-0.00334265"
"0.0452021	-0.00335338"
"0.0454546	-0.00336408"
"0.0457072	-0.00337476"
"0.0459597	-0.00338542"
"0.0462122	-0.00339606"
"0.0464647	-0.00340668"
"0.0467172	-0.00341727"
"0.0469698	-0.00342784"
"0.0472223	-0.0034384"
"0.0474748	-0.00344892"
"0.0477273	-0.00345943"
"0.0479798	-0.00346992"
"0.0482324	-0.00348038"
"0.0484849	-0.00349082"
"0.0487374	-0.00350124"
"0.0489899	-0.00351164"
"0.0492424	-0.00352202"
"0.049495	-0.00353237"
"0.0497475	-0.0035427"
"0.05	-0.00355301"
